#date-time(UTC) LST Az(deg) El(deg) sec(z) RA(hh:mm:ss.s) Dec(dd:mm:ss)

2016/12/20-14:35:00 14:38:28 +134.6575 10.0625 5.7234 +17:57:32.0 -23:26:55
2016/12/20-14:40:00 14:43:29 +135.6136 10.7181 5.3770 +17:57:32.9 -23:26:55
2016/12/20-14:45:00 14:48:30 +136.5795 11.3625 5.0757 +17:57:33.9 -23:26:55
2016/12/20-14:50:00 14:53:30 +137.5555 11.9955 4.8115 +17:57:34.8 -23:26:55
2016/12/20-14:55:00 14:58:31 +138.5416 12.6168 4.5781 +17:57:35.7 -23:26:55
2016/12/20-15:00:00 15:03:32 +139.5379 13.2260 4.3708 +17:57:36.6 -23:26:55
2016/12/20-15:05:00 15:08:33 +140.5445 13.8229 4.1855 +17:57:37.6 -23:26:55
2016/12/20-15:10:00 15:13:34 +141.5616 14.4071 4.0191 +17:57:38.5 -23:26:55
2016/12/20-15:15:00 15:18:34 +142.5891 14.9783 3.8692 +17:57:39.4 -23:26:55
2016/12/20-15:20:00 15:23:35 +143.6272 15.5362 3.7335 +17:57:40.3 -23:26:55
2016/12/20-15:25:00 15:28:36 +144.6758 16.0805 3.6103 +17:57:41.3 -23:26:55
2016/12/20-15:30:00 15:33:37 +145.7349 16.6108 3.4981 +17:57:42.2 -23:26:55
2016/12/20-15:35:00 15:38:38 +146.8046 17.1269 3.3957 +17:57:43.1 -23:26:56
2016/12/20-15:40:00 15:43:39 +147.8848 17.6283 3.3021 +17:57:44.0 -23:26:56
2016/12/20-15:45:00 15:48:39 +148.9754 18.1149 3.2162 +17:57:45.0 -23:26:56
2016/12/20-15:50:00 15:53:40 +150.0764 18.5862 3.1374 +17:57:45.9 -23:26:56
2016/12/20-15:55:00 15:58:41 +151.1876 19.0420 3.0650 +17:57:46.8 -23:26:56
2016/12/20-16:00:00 16:03:42 +152.3090 19.4819 2.9984 +17:57:47.7 -23:26:56
